trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-67.36483599103028,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-77.32030839823496,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,5,-91.88822403483965,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-67.67235836437703,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-92.98412942105487,"{0: 8, 1: 6, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-68.5856860834682,"{0: 11, 1: 12, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-61.44823387894484,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-57.66081252132932,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-98.05675106699589,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-92.15411425987972,"{0: 12, 1: 7, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-33.29805010839804,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-47.04916463064305,"{0: 10, 1: 8, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-24.569745591522107,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-48.480857993355606,"{0: 8, 1: 11, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-29.094903146553378,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-52.622456021886364,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-107.10404407188138,"{0: 14, 1: 15, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-43.514970848328126,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-43.831010635912484,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-56.17112511753951,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,0,-49.353531924504296,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",25,0,-56.796293592679035,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",30,0,-42.255914328023536,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,0,-35.81436700526936,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",30,0,-63.88796954884863,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,0,-37.887884062137736,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",25,0,-50.139583781363434,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",25,0,-48.27302686628843,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,-20.980768031197805,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",30,0,-44.85495704625174,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
