trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,2,-114.00175624439582,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-195.60844346462613,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.13889242578855,"{0: 14, 1: 5, 2: 3, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.49804538215392,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.42360482490278,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-90.25050924429932,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.08287363977641,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.69308528932608,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-66.06053861163096,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.11284510187576,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.25998686270385,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,12,-13.102806000402431,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-209.09340170710792,"{0: 11, 1: 6, 2: 11, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.34161866212392,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.46565076930322,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.8097543547546,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,8,-40.602339731802644,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.79876915765144,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.16220594658975,"{0: 15, 1: 8, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,3,-115.51863448814508,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.42154112487282,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.5231205983864,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-149.7111220870426,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,7,-86.25106018859596,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.11726180912265,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.53178708499786,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.5649198206584,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.91792799537261,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.82422958727346,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.12288012857873,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
